week,player_name,team_owner,position,points,note
2,Puka Nacua,Jeff,WR,0.0,"no stat line in real Week 2 box score (0 touches, injury, or inactive -- verify roster status)"
2,RJ Harvey,Jeff,RB,0.0,"no stat line in real Week 2 box score (0 touches, injury, or inactive -- verify roster status)"
2,Kyler Murray,Jeff,QB,0.0,"no stat line in real Week 2 box score (0 touches, injury, or inactive -- verify roster status)"
2,Jordan Mason,Surrender Your Booty,RB,0.0,"no stat line in real Week 2 box score (0 touches, injury, or inactive -- verify roster status)"
2,Brock Bowers,Team Mel,TE,0.0,"player not found in any real Week 2 box score at all -- likely inactive, injured, or off the active roster; verify"
2,A.J. Brown,Team Mel,WR,0.0,"no stat line in real Week 2 box score (0 touches, injury, or inactive -- verify roster status)"
2,Jerry Jeudy,Team Mel,WR,0.0,
2,Michael Pittman Jr.,Team Mel,WR,0.0,"no stat line in real Week 2 box score (0 touches, injury, or inactive -- verify roster status)"
2,Ray Davis,Tee Time,RB,0.0,
2,Josh Jacobs,Wild Bill,RB,0.0,"player not found in any real Week 2 box score at all -- likely inactive, injured, or off the active roster; verify"
2,Sam Darnold,Wild Bill,QB,0.0,"no stat line in real Week 2 box score (0 touches, injury, or inactive -- verify roster status)"
2,DJ Moore,Wild Bill,WR,-0.1,
